,id,adult,budget,original_language,popularity,revenue,runtime,status,video,country,genre_list,Animation,Comedy,Family,Adventure,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,History,Mystery,War,Foreign,Music,Documentary,Western,Aniplex,GoHands,pro_co
0,862,False,30000000.0,en,21.946943,373554033.0,81.0,Released,False,US,"['Animation', 'Comedy', 'Family']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Pixar Animation Studio']
1,8844,False,65000000.0,en,17.015539,262797249.0,104.0,Released,False,US,"['Adventure', 'Fantasy', 'Family']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['TriStar Picture', 'Teitler Fil', 'Interscope Communication']"
2,15602,False,24061716.504172157,en,11.7129,0.0,101.0,Released,False,US,"['Romance', 'Comedy']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Warner Bro', 'Lancaster Gat']"
3,11862,False,24061716.504172157,en,8.387519000000001,76578911.0,106.0,Released,False,US,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Sandollar Production', 'Touchstone Picture']"
4,949,False,60000000.0,en,17.924927,187436818.0,170.0,Released,False,US,"['Action', 'Crime', 'Drama', 'Thriller']",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"['Regency Enterprise', 'Forward Pas', 'Warner Bro']"
5,11860,False,58000000.0,en,6.677277,0.0,127.0,Released,False,DE,"['Comedy', 'Romance']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Paramount Picture', 'Scott Rudin Production', 'Mirage Enterprise', 'Sandollar Production', 'Constellation Entertainmen', 'Worldwid', 'Mont Blanc Entertainment Gmb']"
6,9091,False,35000000.0,en,5.23158,64350171.0,106.0,Released,False,US,"['Action', 'Adventure', 'Thriller']",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"['Universal Picture', 'Imperial Entertainmen', 'Signature Entertainmen']"
7,710,False,58000000.0,en,14.686035999999998,352194034.0,130.0,Released,False,GB,"['Adventure', 'Action', 'Thriller']",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"['United Artist', 'Eon Production']"
8,9087,False,62000000.0,en,6.318445,107879496.0,106.0,Released,False,US,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Columbia Picture', 'Castle Rock Entertainmen']"
9,12110,False,24061716.504172157,en,5.430331,0.0,88.0,Released,False,FR,"['Comedy', 'Horror']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['Columbia Picture', 'Castle Rock Entertainmen', 'Enigma Picture']"
10,21032,False,24061716.504172157,en,12.140733,11348324.0,78.0,Released,False,US,"['Family', 'Animation', 'Adventure']",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Universal Picture', 'Amblin Entertainmen', 'Amblimatio']"
11,1408,False,98000000.0,en,7.284477000000001,10017322.0,119.0,Released,False,FR,"['Action', 'Adventure']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Le Studio Cana', 'Laurence Mark Production', 'Metr', 'Carolco Picture']"
12,524,False,52000000.0,en,10.137389,116112375.0,178.0,Released,False,FR,"['Drama', 'Crime']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Universal Picture', '', 'Syalis D', 'De Fin']"
13,4584,False,16500000.0,en,10.673167,135000000.0,136.0,Released,False,GB,"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Columbia Pictures Corporatio', 'Mirage Enterprise']"
14,5,False,4000000.0,en,9.026586,4300000.0,98.0,Released,False,US,"['Crime', 'Comedy']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Miramax Film', 'A Band Apar']"
15,9273,False,30000000.0,en,8.205447999999999,212385533.0,90.0,Released,False,US,"['Crime', 'Comedy', 'Adventure']",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['O Entertainmen', 'Warner Bro', 'Morgan Creek Production']"
